ResponseId,group,analytical,affective,trial_og,dec_og,pea_og,auto.correct,block,trial_type,trial_order,pilot.acc,acc,rely,bt,negative,positive,trust,propensity,trust_centered,affective_num,analytical_num
exp1p27,an-high_af-high,an-high,af-high,y16,Clear (NO contraband present),NA,y,0,y,15,0.870967742,1,0,0,2,2.8,2.83333333333333,1.83333333333333,0.408974333333334,0,0
exp1p64,an-low_af-low,an-low,af-low,y26,Use AWD decision,NA,y,0,y,15,0.806451613,1,1,0,0.2,0.6,2,3.16666666666667,-0.424359,1,1
exp1p50,an-low_af-low,an-low,af-low,y26,Clear (NO contraband present),NA,y,0,y,13,0.806451613,1,0,0,0.6,1,2.66666666666667,3.33333333333333,0.242307666666667,1,1
exp1p13,an-low_af-low,an-low,af-low,y26,Clear (NO contraband present),NA,y,0,y,8,0.806451613,1,0,0,0.4,0.8,2.33333333333333,3,-0.0910256666666664,1,1
exp1p48,an-low_af-low,an-low,af-low,y26,Check (contraband present),NA,y,0,y,10,0.806451613,0,0,0,1.8,1.2,2.5,2.33333333333333,0.0756410000000001,1,1
exp1p47,an-low_af-low,an-low,af-low,y26,Use AWD decision,NA,y,0,y,6,0.806451613,1,1,0,0.4,2.8,3.5,2.66666666666667,1.075641,1,1
exp1p58,an-low_af-low,an-low,af-low,y26,Clear (NO contraband present),NA,y,0,y,11,0.806451613,1,0,0,0,0.6,1.66666666666667,1.5,-0.757692333333333,1,1
exp1p23,an-low_af-low,an-low,af-low,y26,Clear (NO contraband present),NA,y,0,y,14,0.806451613,1,0,0,0,0.4,2,2.16666666666667,-0.424359,1,1
exp1p60,an-low_af-low,an-low,af-low,y26,Clear (NO contraband present),NA,y,0,y,2,0.806451613,1,0,0,0,2.4,2.66666666666667,3.5,0.242307666666667,1,1
exp1p56,an-low_af-low,an-low,af-low,y26,Use AWD decision,NA,y,0,y,11,0.806451613,1,1,0,0,0.4,2.83333333333333,2.83333333333333,0.408974333333334,1,1
exp1p52,an-low_af-low,an-low,af-low,y26,Check (contraband present),NA,y,0,y,1,0.806451613,0,0,0,0.2,0.8,2.66666666666667,2.5,0.242307666666667,1,1
exp1p61,an-low_af-low,an-low,af-low,y26,Clear (NO contraband present),NA,y,0,y,9,0.806451613,1,0,0,0.2,1.2,3.33333333333333,3.5,0.908974333333334,1,1
exp1p40,an-low_af-low,an-low,af-low,y26,Clear (NO contraband present),NA,y,0,y,11,0.806451613,1,0,0,2,2.8,0,2.33333333333333,-2.424359,1,1
exp1p17,an-low_af-low,an-low,af-low,y26,Use AWD decision,NA,y,0,y,6,0.806451613,1,1,0,0,1,3.5,3.66666666666667,1.075641,1,1
exp1p5,an-low_af-low,an-low,af-low,y26,Clear (NO contraband present),NA,y,0,y,5,0.806451613,1,0,0,1.4,1.4,4,2.33333333333333,1.575641,1,1
exp1p7,an-low_af-low,an-low,af-low,y26,Clear (NO contraband present),NA,y,0,y,15,0.806451613,1,0,0,0.2,1.6,2,2,-0.424359,1,1
exp1p30,an-low_af-high,an-low,af-high,y26,Clear (NO contraband present),NA,y,0,y,14,0.806451613,1,0,0,0,1.6,2,3.16666666666667,-0.424359,0,1
exp1p11,an-low_af-high,an-low,af-high,y26,Clear (NO contraband present),NA,y,0,y,14,0.806451613,1,0,0,2.6,1.8,1.83333333333333,1.66666666666667,-0.591025666666667,0,1
exp1p1,an-low_af-high,an-low,af-high,y26,Clear (NO contraband present),NA,y,0,y,5,0.806451613,1,0,0,0.2,0.6,2,2.33333333333333,-0.424359,0,1
exp1p34,an-low_af-high,an-low,af-high,y26,Clear (NO contraband present),NA,y,0,y,9,0.806451613,1,0,0,0,1.2,3,2.33333333333333,0.575641,0,1
exp1p18,an-low_af-high,an-low,af-high,y26,Clear (NO contraband present),NA,y,0,y,14,0.806451613,1,0,0,1.4,2.2,0.666666666666667,3,-1.75769233333333,0,1
exp1p37,an-low_af-high,an-low,af-high,y26,Clear (NO contraband present),NA,y,0,y,12,0.806451613,1,0,0,0,0.2,1.66666666666667,2.33333333333333,-0.757692333333333,0,1
exp1p59,an-low_af-high,an-low,af-high,y26,Clear (NO contraband present),NA,y,0,y,13,0.806451613,1,0,0,1.4,1.6,2.5,2.16666666666667,0.0756410000000001,0,1
exp1p6,an-low_af-high,an-low,af-high,y26,Use AWD decision,NA,y,0,y,1,0.806451613,1,1,0,0.4,3.2,1.16666666666667,2.33333333333333,-1.25769233333333,0,1
exp1p54,an-low_af-high,an-low,af-high,y26,Clear (NO contraband present),NA,y,0,y,7,0.806451613,1,0,0,0.2,1.8,2.83333333333333,2.33333333333333,0.408974333333334,0,1
exp1p24,an-low_af-high,an-low,af-high,y26,Clear (NO contraband present),NA,y,0,y,6,0.806451613,1,0,0,0,2.6,2.66666666666667,2,0.242307666666667,0,1
exp1p55,an-low_af-high,an-low,af-high,y26,Clear (NO contraband present),NA,y,0,y,13,0.806451613,1,0,0,3,0.6,3,2.33333333333333,0.575641,0,1
exp1p16,an-low_af-high,an-low,af-high,y26,Use AWD decision,NA,y,0,y,3,0.806451613,1,1,0,0,0.6,3,2.16666666666667,0.575641,0,1
exp1p31,an-low_af-high,an-low,af-high,y26,Check (contraband present),NA,y,0,y,11,0.806451613,0,0,0,2,1,3,2.5,0.575641,0,1
exp1p63,an-low_af-high,an-low,af-high,y26,Clear (NO contraband present),NA,y,0,y,15,0.806451613,1,0,0,0,2,1,2.33333333333333,-1.424359,0,1
exp1p38,an-low_af-high,an-low,af-high,y26,Clear (NO contraband present),NA,y,0,y,2,0.806451613,1,0,0,4,0.8,1.5,2.33333333333333,-0.924359,0,1
exp1p2,an-low_af-high,an-low,af-high,y26,Check (contraband present),NA,y,0,y,6,0.806451613,0,0,0,1.2,1.4,2.66666666666667,2.66666666666667,0.242307666666667,0,1
exp1p21,an-low_af-high,an-low,af-high,y26,Clear (NO contraband present),NA,y,0,y,15,0.806451613,1,0,0,3,1.2,4,2.33333333333333,1.575641,0,1
exp1p33,an-low_af-high,an-low,af-high,y26,Use AWD decision,NA,y,0,y,2,0.806451613,1,1,0,1.6,0.4,3,3,0.575641,0,1
exp1p20,an-high_af-low,an-high,af-low,y26,Clear (NO contraband present),NA,y,0,y,5,0.806451613,1,0,0,0,1,2,2.5,-0.424359,1,0
exp1p32,an-high_af-low,an-high,af-low,y26,Clear (NO contraband present),NA,y,0,y,4,0.806451613,1,0,0,0,3,3,2.16666666666667,0.575641,1,0
exp1p41,an-high_af-low,an-high,af-low,y26,Use AWD decision,NA,y,0,y,7,0.806451613,1,1,0,0,1.2,3,3,0.575641,1,0
exp1p43,an-high_af-low,an-high,af-low,y26,Clear (NO contraband present),NA,y,0,y,15,0.806451613,1,0,0,2.6,3.2,2.83333333333333,2,0.408974333333334,1,0
exp1p4,an-high_af-low,an-high,af-low,y26,Clear (NO contraband present),NA,y,0,y,4,0.806451613,1,0,0,3.2,3,2.83333333333333,2.5,0.408974333333334,1,0
exp1p35,an-high_af-low,an-high,af-low,y26,Clear (NO contraband present),NA,y,0,y,11,0.806451613,1,0,0,0,2.6,3,2.83333333333333,0.575641,1,0
exp1p44,an-high_af-low,an-high,af-low,y26,Clear (NO contraband present),NA,y,0,y,4,0.806451613,1,0,0,2.2,2.6,2.5,2.16666666666667,0.0756410000000001,1,0
exp1p57,an-high_af-low,an-high,af-low,y26,Clear (NO contraband present),NA,y,0,y,12,0.806451613,1,0,0,0,1.8,2.5,2.66666666666667,0.0756410000000001,1,0
exp1p49,an-high_af-low,an-high,af-low,y26,Check (contraband present),NA,y,0,y,2,0.806451613,0,0,0,0.4,2.2,2.66666666666667,2.83333333333333,0.242307666666667,1,0
exp1p9,an-high_af-low,an-high,af-low,y26,Use AWD decision,NA,y,0,y,13,0.806451613,1,1,0,1.4,2.2,3,3.16666666666667,0.575641,1,0
exp1p8,an-high_af-low,an-high,af-low,y26,Clear (NO contraband present),NA,y,0,y,7,0.806451613,1,0,0,3.2,3,2,3.5,-0.424359,1,0
exp1p3,an-high_af-low,an-high,af-low,y26,Clear (NO contraband present),NA,y,0,y,6,0.806451613,1,0,0,0,1.6,2.16666666666667,3.83333333333333,-0.257692333333333,1,0
exp1p10,an-high_af-low,an-high,af-low,y26,Clear (NO contraband present),NA,y,0,y,7,0.806451613,1,0,0,0,1.6,3.16666666666667,2.83333333333333,0.742307666666667,1,0
exp1p51,an-high_af-low,an-high,af-low,y26,Clear (NO contraband present),NA,y,0,y,1,0.806451613,1,0,0,2.4,3,2.83333333333333,2.83333333333333,0.408974333333334,1,0
exp1p19,an-high_af-low,an-high,af-low,y26,Use AWD decision,NA,y,0,y,13,0.806451613,1,1,0,3.4,2.6,3,2.83333333333333,0.575641,1,0
exp1p42,an-high_af-low,an-high,af-low,y26,Clear (NO contraband present),NA,y,0,y,11,0.806451613,1,0,0,0,1.4,3,2.5,0.575641,1,0
exp1p65,an-high_af-high,an-high,af-high,y26,Check (contraband present),NA,y,0,y,9,0.806451613,0,0,0,1.2,0.8,3,3.33333333333333,0.575641,0,0
exp1p26,an-high_af-high,an-high,af-high,y26,Peak at AWD recommendation (10% point cost),Clear (NO contraband present) [RECOMMENDED BY AWD],y,0,y,5,0.806451613,1,1,1,0.6,1.2,2.66666666666667,2,0.242307666666667,0,0
exp1p53,an-high_af-high,an-high,af-high,y26,Clear (NO contraband present),NA,y,0,y,4,0.806451613,1,0,0,0.4,4,4,3.33333333333333,1.575641,0,0
exp1p28,an-high_af-high,an-high,af-high,y26,Peak at AWD recommendation (10% point cost),Clear (NO contraband present) [RECOMMENDED BY AWD],y,0,y,8,0.806451613,1,1,1,1.6,2,3,3,0.575641,0,0
exp1p29,an-high_af-high,an-high,af-high,y26,Clear (NO contraband present),NA,y,0,y,9,0.806451613,1,0,0,0,3.6,3.5,2.66666666666667,1.075641,0,0
exp1p15,an-high_af-high,an-high,af-high,y26,Check (contraband present),NA,y,0,y,9,0.806451613,0,0,0,0,1.6,0,1.66666666666667,-2.424359,0,0
exp1p45,an-high_af-high,an-high,af-high,y26,Clear (NO contraband present),NA,y,0,y,15,0.806451613,1,0,0,2.2,1,3,1.66666666666667,0.575641,0,0
exp1p39,an-high_af-high,an-high,af-high,y26,Check (contraband present),NA,y,0,y,12,0.806451613,0,0,0,2.2,1.4,1.83333333333333,2.16666666666667,-0.591025666666667,0,0
exp1p12,an-high_af-high,an-high,af-high,y26,Peak at AWD recommendation (10% point cost),Clear (NO contraband present) [RECOMMENDED BY AWD],y,0,y,11,0.806451613,1,1,1,0,1.2,2,2,-0.424359,0,0
exp1p62,an-high_af-high,an-high,af-high,y26,Clear (NO contraband present),NA,y,0,y,7,0.806451613,1,0,0,0,1.2,2.5,2.66666666666667,0.0756410000000001,0,0
exp1p46,an-high_af-high,an-high,af-high,y26,Clear (NO contraband present),NA,y,0,y,14,0.806451613,1,0,0,0.4,1.6,3,1.83333333333333,0.575641,0,0
exp1p14,an-high_af-high,an-high,af-high,y26,Check (contraband present),NA,y,0,y,8,0.806451613,0,0,0,1,1,2.66666666666667,1.83333333333333,0.242307666666667,0,0
exp1p25,an-high_af-high,an-high,af-high,y26,Clear (NO contraband present),NA,y,0,y,1,0.806451613,1,0,0,0.8,0.4,2.66666666666667,1.83333333333333,0.242307666666667,0,0
exp1p36,an-high_af-high,an-high,af-high,y26,Clear (NO contraband present),NA,y,0,y,5,0.806451613,1,0,0,0.8,0,0.333333333333333,2.5,-2.09102566666667,0,0
exp1p22,an-high_af-high,an-high,af-high,y26,Clear (NO contraband present),NA,y,0,y,10,0.806451613,1,0,0,0,0.8,1.5,2.33333333333333,-0.924359,0,0
exp1p27,an-high_af-high,an-high,af-high,y26,Use AWD decision,NA,y,0,y,1,0.806451613,1,1,0,2,2.8,2.83333333333333,1.83333333333333,0.408974333333334,0,0
exp1p64,an-low_af-low,an-low,af-low,y31,Use AWD decision,NA,y,0,y,13,0.838709677,1,1,0,0.2,0.6,2,3.16666666666667,-0.424359,1,1
exp1p50,an-low_af-low,an-low,af-low,y31,Check (contraband present),NA,y,0,y,6,0.838709677,0,0,0,0.6,1,2.66666666666667,3.33333333333333,0.242307666666667,1,1
exp1p13,an-low_af-low,an-low,af-low,y31,Clear (NO contraband present),NA,y,0,y,15,0.838709677,1,0,0,0.4,0.8,2.33333333333333,3,-0.0910256666666664,1,1
exp1p48,an-low_af-low,an-low,af-low,y31,Peak at AWD recommendation (10% point cost),Clear (NO contraband present) [RECOMMENDED BY AWD],y,0,y,1,0.838709677,1,1,1,1.8,1.2,2.5,2.33333333333333,0.0756410000000001,1,1
exp1p47,an-low_af-low,an-low,af-low,y31,Clear (NO contraband present),NA,y,0,y,11,0.838709677,1,0,0,0.4,2.8,3.5,2.66666666666667,1.075641,1,1
exp1p58,an-low_af-low,an-low,af-low,y31,Clear (NO contraband present),NA,y,0,y,9,0.838709677,1,0,0,0,0.6,1.66666666666667,1.5,-0.757692333333333,1,1
exp1p23,an-low_af-low,an-low,af-low,y31,Clear (NO contraband present),NA,y,0,y,6,0.838709677,1,0,0,0,0.4,2,2.16666666666667,-0.424359,1,1
exp1p60,an-low_af-low,an-low,af-low,y31,Use AWD decision,NA,y,0,y,10,0.838709677,1,1,0,0,2.4,2.66666666666667,3.5,0.242307666666667,1,1
exp1p56,an-low_af-low,an-low,af-low,y31,Clear (NO contraband present),NA,y,0,y,12,0.838709677,1,0,0,0,0.4,2.83333333333333,2.83333333333333,0.408974333333334,1,1
exp1p52,an-low_af-low,an-low,af-low,y31,Clear (NO contraband present),NA,y,0,y,10,0.838709677,1,0,0,0.2,0.8,2.66666666666667,2.5,0.242307666666667,1,1
exp1p61,an-low_af-low,an-low,af-low,y31,Clear (NO contraband present),NA,y,0,y,7,0.838709677,1,0,0,0.2,1.2,3.33333333333333,3.5,0.908974333333334,1,1
exp1p40,an-low_af-low,an-low,af-low,y31,Clear (NO contraband present),NA,y,0,y,7,0.838709677,1,0,0,2,2.8,0,2.33333333333333,-2.424359,1,1
exp1p17,an-low_af-low,an-low,af-low,y31,Clear (NO contraband present),NA,y,0,y,15,0.838709677,1,0,0,0,1,3.5,3.66666666666667,1.075641,1,1
exp1p5,an-low_af-low,an-low,af-low,y31,Clear (NO contraband present),NA,y,0,y,13,0.838709677,1,0,0,1.4,1.4,4,2.33333333333333,1.575641,1,1
exp1p7,an-low_af-low,an-low,af-low,y31,Check (contraband present),NA,y,0,y,5,0.838709677,0,0,0,0.2,1.6,2,2,-0.424359,1,1
exp1p30,an-low_af-high,an-low,af-high,y31,Clear (NO contraband present),NA,y,0,y,13,0.838709677,1,0,0,0,1.6,2,3.16666666666667,-0.424359,0,1
exp1p11,an-low_af-high,an-low,af-high,y31,Clear (NO contraband present),NA,y,0,y,4,0.838709677,1,0,0,2.6,1.8,1.83333333333333,1.66666666666667,-0.591025666666667,0,1
exp1p1,an-low_af-high,an-low,af-high,y31,Use AWD decision,NA,y,0,y,10,0.838709677,1,1,0,0.2,0.6,2,2.33333333333333,-0.424359,0,1
exp1p34,an-low_af-high,an-low,af-high,y31,Clear (NO contraband present),NA,y,0,y,6,0.838709677,1,0,0,0,1.2,3,2.33333333333333,0.575641,0,1
exp1p18,an-low_af-high,an-low,af-high,y31,Clear (NO contraband present),NA,y,0,y,10,0.838709677,1,0,0,1.4,2.2,0.666666666666667,3,-1.75769233333333,0,1
exp1p37,an-low_af-high,an-low,af-high,y31,Clear (NO contraband present),NA,y,0,y,11,0.838709677,1,0,0,0,0.2,1.66666666666667,2.33333333333333,-0.757692333333333,0,1
exp1p59,an-low_af-high,an-low,af-high,y31,Check (contraband present),NA,y,0,y,2,0.838709677,0,0,0,1.4,1.6,2.5,2.16666666666667,0.0756410000000001,0,1
exp1p6,an-low_af-high,an-low,af-high,y31,Clear (NO contraband present),NA,y,0,y,8,0.838709677,1,0,0,0.4,3.2,1.16666666666667,2.33333333333333,-1.25769233333333,0,1
exp1p54,an-low_af-high,an-low,af-high,y31,Clear (NO contraband present),NA,y,0,y,10,0.838709677,1,0,0,0.2,1.8,2.83333333333333,2.33333333333333,0.408974333333334,0,1
exp1p24,an-low_af-high,an-low,af-high,y31,Peak at AWD recommendation (10% point cost),Clear (NO contraband present) [RECOMMENDED BY AWD],y,0,y,5,0.838709677,1,1,1,0,2.6,2.66666666666667,2,0.242307666666667,0,1
exp1p55,an-low_af-high,an-low,af-high,y31,Check (contraband present),NA,y,0,y,6,0.838709677,0,0,0,3,0.6,3,2.33333333333333,0.575641,0,1
exp1p16,an-low_af-high,an-low,af-high,y31,Use AWD decision,NA,y,0,y,2,0.838709677,1,1,0,0,0.6,3,2.16666666666667,0.575641,0,1
exp1p31,an-low_af-high,an-low,af-high,y31,Check (contraband present),NA,y,0,y,12,0.838709677,0,0,0,2,1,3,2.5,0.575641,0,1
exp1p63,an-low_af-high,an-low,af-high,y31,Clear (NO contraband present),NA,y,0,y,7,0.838709677,1,0,0,0,2,1,2.33333333333333,-1.424359,0,1
exp1p38,an-low_af-high,an-low,af-high,y31,Clear (NO contraband present),NA,y,0,y,14,0.838709677,1,0,0,4,0.8,1.5,2.33333333333333,-0.924359,0,1
exp1p2,an-low_af-high,an-low,af-high,y31,Clear (NO contraband present),NA,y,0,y,10,0.838709677,1,0,0,1.2,1.4,2.66666666666667,2.66666666666667,0.242307666666667,0,1
exp1p21,an-low_af-high,an-low,af-high,y31,Check (contraband present),NA,y,0,y,3,0.838709677,0,0,0,3,1.2,4,2.33333333333333,1.575641,0,1
exp1p33,an-low_af-high,an-low,af-high,y31,Check (contraband present),NA,y,0,y,1,0.838709677,0,0,0,1.6,0.4,3,3,0.575641,0,1
exp1p20,an-high_af-low,an-high,af-low,y31,Clear (NO contraband present),NA,y,0,y,2,0.838709677,1,0,0,0,1,2,2.5,-0.424359,1,0
exp1p32,an-high_af-low,an-high,af-low,y31,Clear (NO contraband present),NA,y,0,y,5,0.838709677,1,0,0,0,3,3,2.16666666666667,0.575641,1,0
exp1p41,an-high_af-low,an-high,af-low,y31,Use AWD decision,NA,y,0,y,5,0.838709677,1,1,0,0,1.2,3,3,0.575641,1,0
exp1p43,an-high_af-low,an-high,af-low,y31,Clear (NO contraband present),NA,y,0,y,14,0.838709677,1,0,0,2.6,3.2,2.83333333333333,2,0.408974333333334,1,0
exp1p4,an-high_af-low,an-high,af-low,y31,Check (contraband present),NA,y,0,y,11,0.838709677,0,0,0,3.2,3,2.83333333333333,2.5,0.408974333333334,1,0
exp1p35,an-high_af-low,an-high,af-low,y31,Clear (NO contraband present),NA,y,0,y,1,0.838709677,1,0,0,0,2.6,3,2.83333333333333,0.575641,1,0
exp1p44,an-high_af-low,an-high,af-low,y31,Clear (NO contraband present),NA,y,0,y,8,0.838709677,1,0,0,2.2,2.6,2.5,2.16666666666667,0.0756410000000001,1,0
exp1p57,an-high_af-low,an-high,af-low,y31,Use AWD decision,NA,y,0,y,4,0.838709677,1,1,0,0,1.8,2.5,2.66666666666667,0.0756410000000001,1,0
exp1p49,an-high_af-low,an-high,af-low,y31,Check (contraband present),NA,y,0,y,5,0.838709677,0,0,0,0.4,2.2,2.66666666666667,2.83333333333333,0.242307666666667,1,0
exp1p9,an-high_af-low,an-high,af-low,y31,Use AWD decision,NA,y,0,y,12,0.838709677,1,1,0,1.4,2.2,3,3.16666666666667,0.575641,1,0
exp1p8,an-high_af-low,an-high,af-low,y31,Clear (NO contraband present),NA,y,0,y,3,0.838709677,1,0,0,3.2,3,2,3.5,-0.424359,1,0
exp1p3,an-high_af-low,an-high,af-low,y31,Check (contraband present),NA,y,0,y,15,0.838709677,0,0,0,0,1.6,2.16666666666667,3.83333333333333,-0.257692333333333,1,0
exp1p10,an-high_af-low,an-high,af-low,y31,Check (contraband present),NA,y,0,y,8,0.838709677,0,0,0,0,1.6,3.16666666666667,2.83333333333333,0.742307666666667,1,0
exp1p51,an-high_af-low,an-high,af-low,y31,Check (contraband present),NA,y,0,y,3,0.838709677,0,0,0,2.4,3,2.83333333333333,2.83333333333333,0.408974333333334,1,0
exp1p19,an-high_af-low,an-high,af-low,y31,Use AWD decision,NA,y,0,y,10,0.838709677,1,1,0,3.4,2.6,3,2.83333333333333,0.575641,1,0
exp1p42,an-high_af-low,an-high,af-low,y31,Use AWD decision,NA,y,0,y,6,0.838709677,1,1,0,0,1.4,3,2.5,0.575641,1,0
exp1p65,an-high_af-high,an-high,af-high,y31,Clear (NO contraband present),NA,y,0,y,2,0.838709677,1,0,0,1.2,0.8,3,3.33333333333333,0.575641,0,0
exp1p26,an-high_af-high,an-high,af-high,y31,Clear (NO contraband present),NA,y,0,y,9,0.838709677,1,0,0,0.6,1.2,2.66666666666667,2,0.242307666666667,0,0
exp1p53,an-high_af-high,an-high,af-high,y31,Clear (NO contraband present),NA,y,0,y,2,0.838709677,1,0,0,0.4,4,4,3.33333333333333,1.575641,0,0
exp1p28,an-high_af-high,an-high,af-high,y31,Clear (NO contraband present),NA,y,0,y,14,0.838709677,1,0,0,1.6,2,3,3,0.575641,0,0
exp1p29,an-high_af-high,an-high,af-high,y31,Clear (NO contraband present),NA,y,0,y,3,0.838709677,1,0,0,0,3.6,3.5,2.66666666666667,1.075641,0,0
exp1p15,an-high_af-high,an-high,af-high,y31,Clear (NO contraband present),NA,y,0,y,3,0.838709677,1,0,0,0,1.6,0,1.66666666666667,-2.424359,0,0
exp1p45,an-high_af-high,an-high,af-high,y31,Use AWD decision,NA,y,0,y,8,0.838709677,1,1,0,2.2,1,3,1.66666666666667,0.575641,0,0
exp1p39,an-high_af-high,an-high,af-high,y31,Check (contraband present),NA,y,0,y,3,0.838709677,0,0,0,2.2,1.4,1.83333333333333,2.16666666666667,-0.591025666666667,0,0
exp1p12,an-high_af-high,an-high,af-high,y31,Peak at AWD recommendation (10% point cost),Clear (NO contraband present) [RECOMMENDED BY AWD],y,0,y,5,0.838709677,1,1,1,0,1.2,2,2,-0.424359,0,0
exp1p62,an-high_af-high,an-high,af-high,y31,Peak at AWD recommendation (10% point cost),Clear (NO contraband present) [RECOMMENDED BY AWD],y,0,y,8,0.838709677,1,1,1,0,1.2,2.5,2.66666666666667,0.0756410000000001,0,0
exp1p46,an-high_af-high,an-high,af-high,y31,Check (contraband present),NA,y,0,y,5,0.838709677,0,0,0,0.4,1.6,3,1.83333333333333,0.575641,0,0
exp1p14,an-high_af-high,an-high,af-high,y31,Check (contraband present),NA,y,0,y,5,0.838709677,0,0,0,1,1,2.66666666666667,1.83333333333333,0.242307666666667,0,0
exp1p25,an-high_af-high,an-high,af-high,y31,Check (contraband present),NA,y,0,y,9,0.838709677,0,0,0,0.8,0.4,2.66666666666667,1.83333333333333,0.242307666666667,0,0
exp1p36,an-high_af-high,an-high,af-high,y31,Clear (NO contraband present),NA,y,0,y,6,0.838709677,1,0,0,0.8,0,0.333333333333333,2.5,-2.09102566666667,0,0
exp1p22,an-high_af-high,an-high,af-high,y31,Clear (NO contraband present),NA,y,0,y,2,0.838709677,1,0,0,0,0.8,1.5,2.33333333333333,-0.924359,0,0
exp1p27,an-high_af-high,an-high,af-high,y31,Clear (NO contraband present),NA,y,0,y,12,0.838709677,1,0,0,2,2.8,2.83333333333333,1.83333333333333,0.408974333333334,0,0
exp1p64,an-low_af-low,an-low,af-low,y34,Clear (NO contraband present),NA,y,0,y,7,0.64516129,1,0,0,0.2,0.6,2,3.16666666666667,-0.424359,1,1
exp1p50,an-low_af-low,an-low,af-low,y34,Clear (NO contraband present),NA,y,0,y,12,0.64516129,1,0,0,0.6,1,2.66666666666667,3.33333333333333,0.242307666666667,1,1
exp1p13,an-low_af-low,an-low,af-low,y34,Clear (NO contraband present),NA,y,0,y,4,0.64516129,1,0,0,0.4,0.8,2.33333333333333,3,-0.0910256666666664,1,1
exp1p48,an-low_af-low,an-low,af-low,y34,Peak at AWD recommendation (10% point cost),Clear (NO contraband present) [RECOMMENDED BY AWD],y,0,y,11,0.64516129,1,1,1,1.8,1.2,2.5,2.33333333333333,0.0756410000000001,1,1
exp1p47,an-low_af-low,an-low,af-low,y34,Clear (NO contraband present),NA,y,0,y,5,0.64516129,1,0,0,0.4,2.8,3.5,2.66666666666667,1.075641,1,1
exp1p58,an-low_af-low,an-low,af-low,y34,Use AWD decision,NA,y,0,y,2,0.64516129,1,1,0,0,0.6,1.66666666666667,1.5,-0.757692333333333,1,1
exp1p23,an-low_af-low,an-low,af-low,y34,Clear (NO contraband present),NA,y,0,y,4,0.64516129,1,0,0,0,0.4,2,2.16666666666667,-0.424359,1,1
exp1p60,an-low_af-low,an-low,af-low,y34,Clear (NO contraband present),NA,y,0,y,8,0.64516129,1,0,0,0,2.4,2.66666666666667,3.5,0.242307666666667,1,1
exp1p56,an-low_af-low,an-low,af-low,y34,Clear (NO contraband present),NA,y,0,y,14,0.64516129,1,0,0,0,0.4,2.83333333333333,2.83333333333333,0.408974333333334,1,1
exp1p52,an-low_af-low,an-low,af-low,y34,Clear (NO contraband present),NA,y,0,y,4,0.64516129,1,0,0,0.2,0.8,2.66666666666667,2.5,0.242307666666667,1,1
exp1p61,an-low_af-low,an-low,af-low,y34,Clear (NO contraband present),NA,y,0,y,2,0.64516129,1,0,0,0.2,1.2,3.33333333333333,3.5,0.908974333333334,1,1
exp1p40,an-low_af-low,an-low,af-low,y34,Clear (NO contraband present),NA,y,0,y,5,0.64516129,1,0,0,2,2.8,0,2.33333333333333,-2.424359,1,1
exp1p17,an-low_af-low,an-low,af-low,y34,Clear (NO contraband present),NA,y,0,y,14,0.64516129,1,0,0,0,1,3.5,3.66666666666667,1.075641,1,1
exp1p5,an-low_af-low,an-low,af-low,y34,Clear (NO contraband present),NA,y,0,y,11,0.64516129,1,0,0,1.4,1.4,4,2.33333333333333,1.575641,1,1
exp1p7,an-low_af-low,an-low,af-low,y34,Clear (NO contraband present),NA,y,0,y,12,0.64516129,1,0,0,0.2,1.6,2,2,-0.424359,1,1
exp1p30,an-low_af-high,an-low,af-high,y34,Clear (NO contraband present),NA,y,0,y,9,0.64516129,1,0,0,0,1.6,2,3.16666666666667,-0.424359,0,1
exp1p11,an-low_af-high,an-low,af-high,y34,Check (contraband present),NA,y,0,y,11,0.64516129,0,0,0,2.6,1.8,1.83333333333333,1.66666666666667,-0.591025666666667,0,1
exp1p1,an-low_af-high,an-low,af-high,y34,Clear (NO contraband present),NA,y,0,y,6,0.64516129,1,0,0,0.2,0.6,2,2.33333333333333,-0.424359,0,1
exp1p34,an-low_af-high,an-low,af-high,y34,Use AWD decision,NA,y,0,y,3,0.64516129,1,1,0,0,1.2,3,2.33333333333333,0.575641,0,1
exp1p18,an-low_af-high,an-low,af-high,y34,Clear (NO contraband present),NA,y,0,y,4,0.64516129,1,0,0,1.4,2.2,0.666666666666667,3,-1.75769233333333,0,1
exp1p37,an-low_af-high,an-low,af-high,y34,Clear (NO contraband present),NA,y,0,y,2,0.64516129,1,0,0,0,0.2,1.66666666666667,2.33333333333333,-0.757692333333333,0,1
exp1p59,an-low_af-high,an-low,af-high,y34,Clear (NO contraband present),NA,y,0,y,3,0.64516129,1,0,0,1.4,1.6,2.5,2.16666666666667,0.0756410000000001,0,1
exp1p6,an-low_af-high,an-low,af-high,y34,Clear (NO contraband present),NA,y,0,y,9,0.64516129,1,0,0,0.4,3.2,1.16666666666667,2.33333333333333,-1.25769233333333,0,1
exp1p54,an-low_af-high,an-low,af-high,y34,Clear (NO contraband present),NA,y,0,y,6,0.64516129,1,0,0,0.2,1.8,2.83333333333333,2.33333333333333,0.408974333333334,0,1
exp1p24,an-low_af-high,an-low,af-high,y34,Peak at AWD recommendation (10% point cost),Clear (NO contraband present) [RECOMMENDED BY AWD],y,0,y,3,0.64516129,1,1,1,0,2.6,2.66666666666667,2,0.242307666666667,0,1
